PassengerID,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
59,0,1,Name_59,female,39.5,4,3,74158,34.43,,Q
60,0,1,Name_60,female,,3,0,21794,69.05,E44,Q
61,0,1,Name_61,male,12.8,1,1,89839,56.18,,Q
62,0,1,Name_62,male,60.8,5,0,68228,118.7,G6,S
63,0,3,Name_63,male,40.7,1,2,17162,162.53,D33,C
64,0,1,Name_64,male,30.0,3,3,60200,154.29,C123,Q
65,0,3,Name_65,female,45.3,1,3,57268,148.08,C123,Q
66,1,2,Name_66,female,63.1,5,5,43970,81.3,C123,Q
67,1,3,Name_67,male,9.9,0,5,91161,36.53,E44,S
68,0,3,Name_68,male,26.8,5,3,51721,50.01,G6,Q
69,1,1,Name_69,male,-3.3,5,4,62103,150.92,C123,Q
70,1,2,Name_70,male,32.7,4,5,50937,38.03,G6,C
71,1,2,Name_71,male,35.1,0,1,25404,52.36,D33,S
72,1,2,Name_72,female,29.5,0,0,68454,90.67,G6,C
73,0,2,Name_73,female,20.8,0,1,16989,23.7,,Q
74,1,3,Name_74,male,1.3,5,5,90709,50.41,G6,S
75,0,2,Name_75,male,35.2,3,3,67443,38.46,G6,Q
76,1,3,Name_76,male,50.4,0,2,98118,190.75,B57,Q
77,1,3,Name_77,female,21.7,2,4,78477,46.39,,S
78,1,3,Name_78,female,36.2,1,5,41777,173.74,E44,C
79,0,2,Name_79,female,8.0,3,1,47438,31.81,G6,S
80,1,1,Name_80,male,36.4,2,2,25820,175.24,C123,S
81,0,1,Name_81,female,,5,5,48091,123.89,B57,C
82,1,2,Name_82,male,19.3,5,3,31894,171.44,G6,S
83,0,1,Name_83,female,19.4,2,3,69935,174.8,B57,C
84,1,1,Name_84,female,24.5,4,3,63923,123.31,E44,C
85,0,3,Name_85,female,35.4,4,3,77736,184.36,B57,S
86,0,3,Name_86,male,11.6,2,5,27266,121.24,C123,S
87,1,2,Name_87,male,24.4,4,4,21819,145.39,G6,C
88,0,2,Name_88,female,29.4,1,4,12818,89.06,C123,C
89,1,1,Name_89,male,14.6,1,1,52827,183.67,D33,C
90,1,3,Name_90,male,55.2,5,5,64397,166.59,B57,C
91,1,2,Name_91,male,18.1,4,3,43335,41.68,B57,C
92,1,2,Name_92,male,20.6,0,4,51831,119.51,B57,S
93,1,2,Name_93,male,16.3,2,5,21836,180.4,,Q
94,1,2,Name_94,male,55.2,1,2,46774,160.68,E44,S
95,1,2,Name_95,male,37.7,4,4,16418,192.89,,Q
96,1,2,Name_96,female,16.9,4,4,44953,53.95,C123,C
97,1,1,Name_97,male,45.5,1,1,12167,79.82,D33,S
98,1,3,Name_98,male,32.8,1,4,65539,106.37,E44,Q
99,1,3,Name_99,female,33.6,0,2,55493,54.21,E44,C
100,0,2,Name_100,female,25.2,4,3,57289,84.87,G6,S
101,0,3,Name_101,female,19.5,4,0,83059,112.13,D33,Q
102,1,3,Name_102,female,,3,1,44487,46.35,B57,S
103,1,3,Name_103,male,22.4,5,2,97131,58.77,,Q
104,1,2,Name_104,female,55.4,0,1,26642,33.72,B57,S
105,1,2,Name_105,female,12.2,1,5,43985,145.54,G6,S
106,1,3,Name_106,male,51.5,1,3,46666,78.69,,Q
107,1,3,Name_107,male,28.4,2,4,71420,51.85,B57,S
108,1,2,Name_108,male,34.2,5,5,33072,106.39,C123,S
109,1,1,Name_109,female,41.7,1,4,49352,22.97,B57,C
110,0,3,Name_110,male,21.2,4,2,86392,185.45,,Q
111,1,1,Name_111,female,,1,3,35589,65.95,C123,S
112,0,3,Name_112,male,-7.9,4,0,28357,178.43,G6,Q
113,1,1,Name_113,male,19.9,4,0,20746,104.55,G6,S
114,1,1,Name_114,female,17.1,0,4,49314,171.53,C123,Q
115,0,1,Name_115,male,12.5,1,5,67269,56.94,,Q
116,1,2,Name_116,male,27.0,0,3,63946,43.3,,C
117,0,1,Name_117,male,35.4,5,3,65062,171.39,B57,C
118,1,1,Name_118,male,39.8,4,2,57038,50.46,G6,Q
119,1,1,Name_119,male,33.4,5,5,67785,151.78,G6,S
120,0,3,Name_120,female,20.7,1,0,51160,75.47,C123,Q
121,1,1,Name_121,female,35.2,5,2,32203,152.16,G6,S
122,0,3,Name_122,male,31.7,5,1,40488,182.45,B57,Q
123,1,1,Name_123,female,43.1,1,3,19512,196.51,G6,C
124,0,1,Name_124,female,40.9,0,0,82623,78.36,C123,C
125,0,2,Name_125,female,30.4,0,2,18913,79.83,B57,S
126,1,3,Name_126,male,17.4,4,4,77520,196.46,D33,Q
127,1,1,Name_127,male,20.9,4,1,41994,173.69,C123,S
128,0,3,Name_128,male,22.3,1,2,29620,18.57,D33,C
129,1,3,Name_129,female,25.6,1,4,15619,118.96,G6,Q
130,1,2,Name_130,female,33.8,3,0,37158,44.44,B57,C
131,1,2,Name_131,male,40.0,3,0,21734,198.86,G6,C
132,0,2,Name_132,male,29.3,2,1,82170,36.4,B57,Q
133,0,2,Name_133,female,30.2,4,4,77543,116.28,E44,S
134,0,2,Name_134,female,32.0,5,3,96941,136.39,G6,Q
135,0,2,Name_135,male,22.8,2,0,10085,188.04,G6,C
136,0,2,Name_136,female,17.0,2,5,58651,170.98,G6,C
137,0,2,Name_137,female,5.4,0,3,19666,56.69,,C
138,0,1,Name_138,female,20.3,5,3,79930,118.8,C123,C
139,0,3,Name_139,female,36.6,0,2,68138,191.18,,S
140,0,2,Name_140,female,20.2,3,2,19849,149.79,B57,Q
141,1,2,Name_141,female,,2,0,70824,140.78,B57,Q
142,0,3,Name_142,female,36.5,3,3,34439,153.43,B57,S
143,1,1,Name_143,male,37.3,5,2,46172,71.28,C123,S
144,1,3,Name_144,male,14.9,5,4,65523,148.56,B57,C
145,1,3,Name_145,female,44.0,4,4,24362,54.24,,Q
146,0,2,Name_146,female,45.8,1,4,25917,91.34,,Q
147,0,3,Name_147,female,14.2,0,4,32838,179.09,G6,Q
148,0,3,Name_148,male,18.5,4,3,69451,13.6,D33,S
149,0,2,Name_149,male,46.7,4,4,68999,88.72,E44,C
150,1,2,Name_150,female,27.9,0,3,28522,60.7,B57,C
151,0,2,Name_151,male,-1.1,0,0,79872,47.73,C123,Q
152,0,2,Name_152,female,10.4,5,0,28524,169.33,C123,C
153,0,3,Name_153,female,26.5,5,4,82683,142.33,B57,S
154,0,3,Name_154,female,13.7,2,4,45151,31.4,D33,S
155,0,1,Name_155,female,24.2,3,4,90295,103.95,,Q
156,1,1,Name_156,female,,5,0,67554,98.71,B57,C
157,0,3,Name_157,female,50.5,4,2,96172,37.08,C123,S
158,1,1,Name_158,female,,2,0,96626,161.95,E44,S
159,0,3,Name_159,male,45.0,2,4,68704,79.67,D33,S
160,1,1,Name_160,female,,4,2,85937,154.77,B57,S
161,0,2,Name_161,male,50.1,5,2,10287,46.49,E44,C
162,0,1,Name_162,female,34.0,4,1,58966,69.86,B57,S
163,1,2,Name_163,female,2.5,1,3,89181,28.08,D33,S
164,1,2,Name_164,male,36.5,5,4,51767,37.26,C123,C
165,1,2,Name_165,male,44.7,3,3,27817,177.8,,Q
166,0,2,Name_166,female,28.9,4,1,24612,30.73,,Q
167,1,1,Name_167,male,54.4,5,3,97984,28.19,D33,S
168,0,3,Name_168,female,42.0,0,4,26316,188.67,G6,Q
169,0,2,Name_169,female,38.0,1,1,40940,132.72,,C
170,1,1,Name_170,male,45.2,3,3,49320,29.17,B57,S
171,1,2,Name_171,male,34.7,5,0,45698,194.63,E44,C
172,0,1,Name_172,male,-4.9,0,2,69522,37.95,E44,Q
173,0,1,Name_173,male,23.0,5,1,80383,155.61,,Q
174,1,1,Name_174,female,46.8,0,0,33355,16.62,D33,S
175,1,3,Name_175,male,18.7,3,4,70529,128.66,D33,Q
176,1,1,Name_176,male,26.9,1,2,43713,113.87,D33,S
177,0,1,Name_177,male,15.4,0,1,43770,49.52,E44,S
178,0,3,Name_178,male,55.0,2,2,24285,132.2,C123,C
179,0,3,Name_179,male,53.5,3,5,72584,127.24,E44,Q
180,0,1,Name_180,female,17.6,3,5,27416,161.69,C123,Q
181,0,3,Name_181,female,32.1,4,1,91286,176.42,D33,S
182,0,2,Name_182,male,20.5,1,1,60208,106.92,G6,S
183,1,2,Name_183,male,38.6,2,3,46325,103.16,E44,S
184,0,3,Name_184,female,,2,2,22818,128.1,D33,S
185,0,3,Name_185,male,41.4,4,5,16208,148.55,E44,C
186,0,1,Name_186,female,34.6,0,5,37216,77.67,D33,Q
187,1,3,Name_187,female,71.1,0,2,36989,105.88,E44,C
188,0,1,Name_188,male,15.6,2,5,22403,121.17,B57,Q
189,0,2,Name_189,female,6.1,1,0,44162,197.79,E44,C
190,1,3,Name_190,male,24.5,0,5,57771,121.67,B57,S
191,0,1,Name_191,male,8.0,3,5,65837,52.6,C123,C
192,0,1,Name_192,female,,5,4,32290,121.72,E44,C
193,0,2,Name_193,female,16.0,4,0,32444,165.7,C123,S
194,0,3,Name_194,male,17.1,1,3,11625,172.91,G6,S
195,0,2,Name_195,female,16.6,0,1,61897,162.05,,Q
196,1,1,Name_196,male,37.3,5,5,72576,178.76,,Q
197,1,1,Name_197,female,22.9,2,3,45298,73.61,B57,C
198,1,3,Name_198,female,27.5,4,3,63576,106.44,E44,C
199,0,1,Name_199,male,42.5,0,0,64540,158.12,,C
200,0,3,Name_200,male,19.3,2,1,67618,60.25,C123,S
201,0,2,Name_201,male,26.3,0,4,89299,80.6,,Q
202,1,3,Name_202,female,35.1,4,3,65964,167.92,,C
203,0,3,Name_203,male,2.8,3,4,57075,156.32,D33,Q
204,0,1,Name_204,male,-3.4,3,1,77065,194.53,,Q
205,1,1,Name_205,female,34.8,5,1,25914,199.24,C123,S
206,0,3,Name_206,female,36.9,2,0,97492,55.74,,S
207,1,1,Name_207,male,58.9,3,2,75517,181.09,E44,C
208,1,1,Name_208,male,32.2,4,5,83134,27.96,,C
209,1,1,Name_209,male,41.5,2,0,66076,144.86,G6,C
210,0,3,Name_210,male,27.3,0,4,43149,51.82,,C
211,0,1,Name_211,female,34.2,1,0,83321,67.06,B57,C
212,0,3,Name_212,female,53.3,0,1,79478,189.8,D33,Q
213,0,1,Name_213,male,,4,3,76299,60.0,C123,Q
214,0,2,Name_214,male,35.8,5,5,94415,137.9,,S
215,0,1,Name_215,male,59.9,2,5,70820,43.84,,S
216,0,1,Name_216,female,33.9,0,2,53557,27.74,E44,Q
217,1,3,Name_217,male,53.1,2,1,63987,74.47,E44,S
218,0,3,Name_218,male,21.2,3,5,29645,128.6,B57,S
219,1,1,Name_219,female,,1,5,83662,57.11,D33,C
220,0,2,Name_220,female,30.5,4,3,80956,67.03,C123,S
221,0,1,Name_221,male,-1.0,0,4,53348,144.66,C123,S
222,0,1,Name_222,male,13.6,1,4,75046,29.53,C123,S
223,1,2,Name_223,female,14.6,4,4,37700,94.91,B57,Q
224,1,3,Name_224,male,41.5,4,0,70990,188.93,B57,Q
225,1,1,Name_225,male,42.2,5,4,84432,85.42,,C
226,1,3,Name_226,female,34.5,3,4,20892,92.5,D33,S
227,0,3,Name_227,female,41.5,5,0,30289,150.26,C123,Q
228,1,2,Name_228,female,27.7,5,3,35013,158.01,C123,C
229,0,2,Name_229,male,46.8,2,1,35121,156.23,,S
230,0,3,Name_230,female,30.1,2,5,63059,199.59,D33,C
231,1,1,Name_231,female,30.8,1,2,73219,23.58,D33,C
232,1,3,Name_232,male,26.3,3,5,39071,196.63,D33,S
233,1,1,Name_233,male,39.6,4,4,59937,190.54,E44,Q
234,1,1,Name_234,female,24.1,3,4,52712,171.91,D33,S
235,1,2,Name_235,female,43.7,3,5,15219,96.28,G6,S
236,1,1,Name_236,male,14.1,1,5,49575,175.47,B57,S
237,1,1,Name_237,male,14.6,2,4,17116,51.96,D33,Q
238,1,3,Name_238,female,39.6,3,0,93594,160.41,E44,S
239,0,2,Name_239,female,28.8,3,0,72457,45.2,G6,Q
240,1,1,Name_240,male,23.6,3,0,36978,164.92,E44,C
241,1,1,Name_241,female,42.5,0,2,46691,126.76,E44,Q
242,0,2,Name_242,male,,3,1,73691,28.63,,C
243,1,3,Name_243,female,27.2,3,4,29881,180.11,E44,C
244,0,2,Name_244,male,49.6,4,3,35922,119.81,E44,S
245,0,2,Name_245,male,51.5,5,5,72472,134.69,C123,Q
246,1,1,Name_246,female,52.0,0,5,41818,63.87,B57,C
247,0,1,Name_247,female,26.1,3,4,10021,175.61,,C
248,0,3,Name_248,male,47.2,5,4,27594,113.59,,Q
249,0,1,Name_249,female,16.7,3,4,43878,90.01,C123,Q
250,0,1,Name_250,female,17.3,1,5,69288,111.51,G6,C
251,1,2,Name_251,female,-2.9,1,4,15486,143.63,C123,C
252,0,1,Name_252,male,53.4,5,5,45029,142.06,,Q
253,1,3,Name_253,female,17.9,0,1,17376,77.94,G6,Q
254,0,2,Name_254,female,28.2,4,3,20712,83.2,,C
255,0,3,Name_255,male,17.3,0,0,11520,116.83,D33,S
256,0,2,Name_256,female,39.7,0,3,50174,185.64,G6,Q
257,0,1,Name_257,female,24.7,1,4,72430,151.63,,C
258,1,2,Name_258,male,11.7,1,3,58608,84.18,C123,C
259,1,2,Name_259,male,36.2,4,4,81138,74.04,,S
260,0,1,Name_260,female,9.9,3,3,85210,109.49,C123,Q
261,0,1,Name_261,female,18.3,4,2,71234,175.3,G6,C
262,1,3,Name_262,male,0.5,3,3,60990,11.65,C123,S
263,0,3,Name_263,male,10.1,5,0,51272,144.99,G6,Q
264,0,1,Name_264,female,32.5,5,0,15699,65.96,E44,S
265,0,1,Name_265,female,2.5,2,3,53614,49.6,B57,C
266,1,1,Name_266,female,9.3,1,5,97227,12.31,G6,S
267,1,2,Name_267,male,30.0,2,5,53697,180.35,E44,C
268,1,2,Name_268,female,22.4,2,5,87864,183.33,E44,C
269,0,2,Name_269,male,,1,3,35943,21.67,E44,S
270,0,1,Name_270,male,55.7,2,5,90587,109.14,E44,S
271,1,3,Name_271,male,17.8,0,1,51593,38.99,G6,C
272,1,1,Name_272,female,37.8,3,3,26902,154.15,C123,S
273,1,2,Name_273,female,,4,0,87629,136.42,E44,Q
274,1,2,Name_274,female,21.6,1,5,45359,66.45,D33,Q
275,0,1,Name_275,male,9.1,0,2,87655,32.22,E44,S
276,1,1,Name_276,female,29.8,5,5,89085,167.93,C123,S
277,0,2,Name_277,male,27.6,4,0,45835,138.11,C123,Q
278,1,2,Name_278,male,23.9,4,1,37237,11.3,B57,C
279,0,2,Name_279,male,36.2,4,3,31023,129.3,B57,C
280,1,1,Name_280,male,19.5,2,5,66317,163.96,E44,Q
281,1,2,Name_281,male,13.9,2,2,54018,122.25,E44,C
282,1,2,Name_282,male,31.5,2,0,24135,90.7,,S
283,1,3,Name_283,female,35.4,2,2,30555,120.94,,S
284,0,1,Name_284,male,13.5,0,4,84878,127.75,B57,Q
285,1,3,Name_285,female,43.0,2,0,98270,131.61,E44,Q
286,0,3,Name_286,male,5.2,1,4,10661,193.74,,Q
287,0,2,Name_287,female,21.9,4,2,90153,43.94,D33,Q
288,0,1,Name_288,female,26.4,0,3,66848,128.39,G6,C
289,0,2,Name_289,female,21.1,5,3,77925,45.72,B57,C
290,1,1,Name_290,female,22.1,2,3,33394,49.89,B57,C
291,0,3,Name_291,male,56.2,5,4,93089,137.16,C123,S
292,0,1,Name_292,male,18.1,4,3,92643,184.03,E44,S
293,0,2,Name_293,male,64.2,0,1,39112,40.22,B57,Q
294,1,2,Name_294,male,,4,0,51781,192.87,B57,Q
295,1,2,Name_295,female,31.3,5,0,27046,70.68,,C
296,1,1,Name_296,female,36.7,0,2,40093,84.35,D33,C
297,1,3,Name_297,female,65.4,3,5,65855,39.2,E44,C
298,0,3,Name_298,male,16.1,0,4,18839,127.01,G6,Q
299,0,1,Name_299,female,14.3,2,0,80179,123.32,D33,C
300,1,2,Name_300,male,19.4,5,4,66264,94.03,G6,Q
301,0,3,Name_301,female,30.5,4,2,43845,100.46,C123,Q
302,0,2,Name_302,female,5.8,4,3,23679,128.37,B57,S
303,0,1,Name_303,female,30.3,4,5,75893,120.86,,S
304,1,2,Name_304,female,53.7,1,2,37957,81.11,D33,Q
305,1,3,Name_305,female,32.1,1,1,26255,177.98,G6,C
306,0,3,Name_306,male,25.9,2,3,76251,136.86,E44,Q
307,1,2,Name_307,female,21.3,3,3,61778,49.03,C123,Q
308,1,1,Name_308,male,42.6,1,3,15999,70.78,C123,Q
309,1,2,Name_309,male,18.4,0,2,57952,159.7,B57,Q
310,1,1,Name_310,male,55.8,5,1,57901,29.86,B57,S
311,1,2,Name_311,male,,2,5,60748,152.54,G6,S
312,0,3,Name_312,male,33.6,3,4,60940,78.18,G6,Q
313,1,1,Name_313,male,29.8,0,2,69612,114.82,C123,S
314,0,1,Name_314,male,44.4,4,0,39415,63.31,G6,S
315,0,1,Name_315,male,45.3,1,0,67121,197.43,B57,C
316,1,3,Name_316,female,18.7,0,2,30170,182.11,C123,S
317,0,2,Name_317,female,22.6,3,4,68980,186.41,C123,S
318,0,3,Name_318,male,11.5,2,0,58059,45.11,E44,Q
319,0,1,Name_319,male,35.7,0,4,40962,169.92,E44,S
320,1,2,Name_320,male,39.3,2,3,23600,111.73,G6,S
321,1,3,Name_321,female,11.1,4,2,36550,144.49,G6,S
322,0,1,Name_322,female,23.6,3,3,27057,51.33,B57,Q
323,1,1,Name_323,male,11.1,3,0,44323,145.28,B57,Q
324,1,3,Name_324,male,17.4,1,4,13963,183.71,E44,S
325,1,3,Name_325,female,37.7,5,3,59567,60.82,C123,Q
326,1,3,Name_326,female,19.7,3,0,66058,54.34,D33,Q
327,0,1,Name_327,male,25.8,0,1,58392,29.84,,C
328,0,3,Name_328,male,7.2,0,3,19535,60.69,,S
329,1,1,Name_329,male,32.6,0,1,95963,111.8,D33,C
330,1,3,Name_330,male,29.4,4,1,92924,168.22,G6,S
331,0,1,Name_331,female,19.8,3,5,15010,62.97,,S
332,0,1,Name_332,female,27.4,3,0,86030,128.02,,C
333,1,2,Name_333,male,32.5,0,2,55359,101.12,D33,C
334,0,3,Name_334,male,,1,4,20008,64.83,D33,S
335,1,3,Name_335,male,9.3,1,0,64606,106.97,E44,C
336,1,1,Name_336,female,55.3,3,5,27852,41.91,C123,C
337,0,1,Name_337,male,21.1,3,5,10723,131.52,B57,Q
338,0,1,Name_338,male,28.6,2,3,50049,31.98,E44,S
339,1,2,Name_339,male,44.2,3,4,89070,148.89,,Q
340,1,2,Name_340,female,79.4,0,5,20509,43.77,B57,S
341,0,1,Name_341,male,12.6,5,2,53683,199.65,E44,Q
342,1,3,Name_342,female,36.3,4,0,12578,166.5,E44,S
343,0,3,Name_343,male,20.1,3,2,79844,75.33,D33,Q
344,1,2,Name_344,male,22.5,3,3,64663,90.98,B57,S
345,0,2,Name_345,male,19.9,0,0,52103,59.25,E44,Q
346,0,1,Name_346,female,,2,3,37956,155.75,D33,C
347,0,3,Name_347,male,29.4,5,4,22549,82.34,G6,S
348,1,1,Name_348,male,9.4,3,4,48285,153.49,B57,C
349,1,2,Name_349,female,43.3,1,2,26002,13.5,E44,Q
350,0,3,Name_350,female,,1,2,58680,35.77,,S
351,1,3,Name_351,female,,1,4,59320,79.35,G6,Q
352,0,2,Name_352,male,23.5,4,1,18256,30.69,D33,Q
353,0,1,Name_353,female,24.9,4,4,10328,124.21,E44,C
354,1,1,Name_354,male,34.0,5,0,26131,19.66,,S
355,1,3,Name_355,female,13.7,3,3,62076,173.35,D33,Q
356,0,2,Name_356,female,25.0,3,4,98886,154.65,D33,C
357,1,3,Name_357,female,18.0,3,4,14986,51.09,,C
358,1,2,Name_358,male,17.5,4,5,81099,101.92,D33,C
359,0,1,Name_359,male,0.5,5,3,71019,95.84,B57,C
360,0,2,Name_360,male,48.8,3,5,85954,147.72,G6,Q
361,1,1,Name_361,male,20.4,0,3,13490,86.29,G6,Q
362,0,2,Name_362,male,46.3,2,0,55656,16.26,C123,Q
363,0,3,Name_363,male,45.0,1,3,14967,62.01,E44,S
364,1,1,Name_364,male,12.0,1,2,56638,98.58,D33,S
365,0,3,Name_365,male,14.8,0,4,39571,195.15,E44,C
366,0,3,Name_366,male,65.8,3,3,16317,177.42,G6,Q
367,1,1,Name_367,female,54.5,5,0,99448,44.47,G6,C
368,1,1,Name_368,female,29.6,5,3,87660,147.42,D33,Q
369,0,3,Name_369,male,33.6,4,4,66053,188.0,B57,S
370,0,3,Name_370,male,21.2,3,1,75775,11.67,,C
371,1,3,Name_371,male,36.1,5,3,72409,146.98,D33,Q
372,1,3,Name_372,male,,3,2,99282,97.27,D33,Q
373,1,1,Name_373,female,1.5,1,4,73271,139.24,C123,Q
374,1,1,Name_374,female,11.5,1,0,80340,125.06,,C
375,0,3,Name_375,male,30.3,4,4,26256,197.09,B57,S
376,1,2,Name_376,female,14.2,1,5,92337,64.87,E44,Q
377,1,2,Name_377,female,29.1,3,1,84979,159.37,,C
378,0,1,Name_378,male,15.0,0,0,84567,54.58,B57,Q
379,1,3,Name_379,male,19.0,4,1,86399,92.77,D33,C
380,0,3,Name_380,male,,0,1,19449,195.32,D33,S
381,1,1,Name_381,male,33.5,3,2,22813,155.57,D33,Q
382,1,2,Name_382,female,29.9,4,3,58319,70.01,D33,C
383,1,2,Name_383,male,42.3,0,2,16310,127.68,D33,Q
384,0,2,Name_384,female,36.7,4,2,26727,19.44,,C
385,0,1,Name_385,male,50.3,3,5,79369,60.62,,S
386,1,2,Name_386,female,23.6,5,2,42714,146.49,,S
387,0,1,Name_387,male,24.0,4,0,63308,118.32,B57,C
388,0,1,Name_388,male,11.8,5,3,52529,99.24,D33,S
389,0,3,Name_389,female,24.0,3,3,21141,141.27,G6,Q
390,0,2,Name_390,female,43.5,4,0,98583,85.71,,S
391,0,1,Name_391,female,48.2,4,2,31889,14.97,G6,Q
392,0,2,Name_392,male,43.4,5,2,91294,93.8,C123,S
393,1,2,Name_393,female,4.9,1,1,77646,181.4,E44,S
394,1,3,Name_394,female,45.2,5,1,86492,172.76,,Q
395,0,2,Name_395,female,4.3,5,5,62212,87.71,G6,S
396,1,3,Name_396,female,42.6,5,4,37155,14.22,C123,Q
397,1,1,Name_397,female,24.9,3,1,50815,130.9,B57,Q
398,1,2,Name_398,female,39.8,2,3,40094,150.83,E44,S
399,1,1,Name_399,female,11.3,5,0,66340,65.91,D33,S
400,0,2,Name_400,female,46.4,4,2,81494,100.57,,Q
401,1,1,Name_401,female,9.5,0,4,93009,198.45,,C
402,1,2,Name_402,male,20.6,1,1,30778,119.51,D33,S
403,0,2,Name_403,male,16.0,5,4,41073,76.7,B57,S
404,0,2,Name_404,female,5.4,5,0,64021,129.22,E44,C
405,1,2,Name_405,male,31.3,1,0,83821,44.2,,C
406,1,2,Name_406,male,55.3,5,4,24921,47.86,G6,S
407,1,2,Name_407,female,67.3,4,4,51654,185.74,E44,S
408,1,2,Name_408,female,31.4,2,5,86170,55.45,C123,S
409,1,2,Name_409,female,45.6,5,4,80315,69.05,,C
410,1,2,Name_410,female,33.2,1,2,15698,113.32,B57,S
411,0,1,Name_411,female,37.0,5,3,25101,180.94,G6,C
412,1,3,Name_412,female,25.2,3,1,80231,158.48,E44,C
413,1,2,Name_413,male,32.7,4,1,15183,18.32,E44,Q
414,0,3,Name_414,female,37.5,4,1,40485,141.68,G6,C
415,0,2,Name_415,male,21.9,2,4,10727,105.77,C123,Q
416,0,2,Name_416,female,28.9,3,4,97642,100.36,C123,C
417,0,1,Name_417,female,29.2,3,5,45847,141.4,E44,C
418,1,1,Name_418,male,41.6,2,4,83246,47.28,D33,Q
419,1,3,Name_419,female,15.1,0,5,39765,196.48,G6,Q
420,1,1,Name_420,female,29.3,5,5,89253,132.61,,Q
421,1,1,Name_421,male,56.8,3,2,16642,79.47,C123,Q
422,1,3,Name_422,female,46.3,0,2,69393,124.04,,Q
